Topic,Count,Name,Representation,Representative_Docs
-1,534,-1_Human factors in aviation,['Human factors in aviation'],"['<title>Classification of Air Force aviation accidents: Mishap trends and prevention</title> <excerpt>This article reanalyzed 124 U.S. Air Force aviation mishaps from 1992 through 2005, using the Department of Defense Human Factors Analysis and Classification System. Mishap types included controlled flight into terrain, loss of control, spatial disorientation, and midair collisions.</excerpt>', ""<title>Human factors in multi-crew flight operations</title> <excerpt>This paper discusses selected aviation human factors challenges in the air transport environment. Because of the authors' background, much of this paper will be based upon the growth of human factors and airline training in transport aviation in the United States. However, parallel growth and advancements have been made in other parts of the world from the beginning of air transport and are being made in many parts of the world today.</excerpt>"", '<title>Cultural factors influencing safety need to be addressed in design and operation of technology.</title> <excerpt>Cultural factors which influence aviation safety in aircraft design, air traffic control, and human factors training are examined. Analysis of the Avianca Flight 052 crash in New York in January, 1990, demonstrates the catastrosphic effects cultural factors can play. Cultural factors include attitude toward work and technology, organizational hierarchy, religion, and population stereotyping..</excerpt>']"
0,59,0_Aviation Psychiatry Research,['Aviation Psychiatry Research'],"['<title>Psychiatry and fitness to fly after Germanwings</title> <excerpt>In March 2015, a co-pilot flying Germanwings Flight 9525 deliberately pointed his airplane into a descent, killing himself, five other crew members, and 144 passengers. Subsequent investigation and review teams examined the incident and considered potential lessons to maximize air safety. In this article, aviation industry clinical leaders, including the U.S.</excerpt>', '<title>Early menopause presenting with mood symptoms in a student aviator</title> <excerpt>The clinical presentation of menopause can resemble the symptoms of a mood disorder. We describe the case of a 31-yr-old student helicopter pilot who presented to the Aviation Psychiatry Department with a several-month history of inconsistent training performance, mood lability, tearfulness, anxiety, insomnia, fatigue, and decreased concentration. Symptoms persisted despite stress management training and resolution of family stressors, and further evaluation revealed other symptoms consistent with early menopause.</excerpt>', ""<title>Becoming a flight surgeon</title> <excerpt>This text is the inaugural lesson given by the Professor of Aeronautic Psychiatry and starts the training period for new flight surgeons in the French Air Force. Introducing the French Air Force Medicine Training Session, the author speaks about the psychological aspects in aviation medicine. Three points of pilots' psychology are developed: 1) the pilot's body as the source of intense sensations and as an object of important value; 2) the libidinal, narcissistic, and defensive aspects of the pilot's spirit; and 3) the pilot's environment with its characteristic relationships.</excerpt>""]"
1,54,1_Pilot workload assessment,['Pilot workload assessment'],"[""<title>The role of visual conditions and aircraft type on different aspects of pilot workload</title> <excerpt>Objective: The objective of our work was to assess the impact of flight conditions by aircraft type on the workload estimated using NASA-Task Load Index (NASA-TLX). Background: Learning about subjective workload is important for assessing the impact of a pilot's work environment on their performance in the cockpit. This is an important element of flight safety and includes the prevention of aviation accidents.</excerpt>"", '<title>The effects of dynamic workload and experience on commercially available EEG cognitive state metrics in a high-fidelity air traffic control environment</title> <excerpt>The current study evaluated the validity of commercially available electroencephalography (EEG) cognitive state metrics of workload and engagement in differentially experienced air traffic control (ATC) students. EEG and pupil diameter recordings were collected from 47 ATC students (27 more experienced and 20 less experienced) during a high-fidelity, variable workload approach-control scenario. Scenario workload was manipulated by increasing the number of aircraft released and the presence of a divided attention task.</excerpt>', '<title>Cognitive performance and electroencephalographic variations in air traffic controllers under various mental workload and time of day</title> <excerpt>The aim of this study was to investigate the effects of mental workload (MWL) and time of day on cognitive performance and electroencephalographic (EEG) parameters of air traffic controllers. EEG signals recorded while 20 professional air traffic controllers performed cognitive tasks [A-X Continuous Performance Test (AX-CPT) and 3-back working memory task] after they were exposed to two levels of task difficulty (high and low MWL) in the morning and afternoon. Significant decreases in cognitive performance were found when the levels of task difficulty increased in both tasks.</excerpt>']"
2,51,2_Motion sickness training,['Motion sickness training'],"['<title>Autogenic feedback training exercise: A treatment for airsickness in military pilots</title> <excerpt>In this article, we present physiological data from 2 male pilots who completed a 6-hr training program for control of motion sickness at National Aeronautic and Space Administration Ames Research Center. The program consisted of an Autogenic Feedback Training Exercise in which research participants learn through operant conditioning techniques to regulate several physiological responses to suppress their symptoms. We evaluated training progress during rotating-chair motion sickness tests.</excerpt>', '<title>The effect of autogenic training and biofeedback on motion sickness tolerance</title> <excerpt>Background: Motion sickness is characterized by symptoms of vomiting, drowsiness, fatigue and idiosyncratic changes in autonomic nervous system (ANS) responses such as heart rate (HR) and skin temperature (ST). Previous studies found that symptoms of motion sickness are controllable through self- regulation of ANS responses and the best method to teach such control is autogenic-feedback (biofeedback) training. Recent experiments indicated that biofeedback training is ineffective in reducing symptoms of motion sickness or in increasing tolerance to motion.</excerpt>', '<title>Motion sickness susceptibility in student navigators</title> <excerpt>Identification of individuals highly susceptible to motion sickness could be of significant benefit in managing flying personnel in training. Several studies in the past four decades with this end have been primarily aimed at pilot trainees. The following study is a prospective evaluation of airsickness in Air Force navigation students.</excerpt>']"
3,45,3_Aviation psychology research,['Aviation psychology research'],"[""<title>Need satisfaction in the identification of the DOR</title> <excerpt>The purpose of the present study was to determine whether student pilots who voluntarily drop from the program (DORs) and those who successfully complete training enter the flight program with different 'needs', and whether DORs and 'completers' differ in their evaluation of the program's ability to satisfy their needs. The needs that were explored were those of the Maslow hierarchy, including physiological, safety, and security, social, self esteem, and self actualization needs. Eighty seven aviation officer candidates were given a questionnaire designed to measure optimism, relevance, and importance in terms of the five needs described above.</excerpt>"", '<title>What the Birkman Method© Can Tell Us about the Psychological Profile of Business Aviation Departments, Their Leadership, Strengths, and Challenges</title> <excerpt>Method: The study summarizes a significant amount of Birkman data, validated by one-on-one interviews with business aviation professionals and supported by close observation of the departments and corporations where they work. Objective: Earlier research focused on military, commercial, and trainee pilots; the present study of business aviation examines not only pilots but also maintenance technicians, cabin attendants, schedulers, and directors of aviation who fly, maintain, and manage corporate jets. Results: The findings compare the resulting profile(s) with output from previous studies; throw additional light on the “boomerang effect” in CRM training and other unresolved issues and ambiguities in existing knowledge; and suggest directions for further research, including refined methods and broadened uses for psychological assessments in and beyond the selection process.</excerpt>', '<title>Innovations in training: The New Aviation Scientist--Psychologist and Engineer</title> <excerpt>Notes that meaningful research in applied experimental psychology is often conducted as an interdisciplinary effort. This approach is especially prevalent in aviation because particular consideration must be given to human capabilities and limitations in the aircraft system design process. This article describes the Aviation Research Laboratory at the Institute of Aviation of the University of Illinois, which provides a unique environment for graduate training in aviation research.</excerpt>']"
4,45,4_Pilot training selection,['Pilot training selection'],"['<title>Early Identification of Unmanned Aircraft Pilots Using Measures of Personality and Aptitude</title> <excerpt>This study evaluated the extent to which personality measures (Self-Description Inventory+) could improve prediction of remotely piloted aircraft (RPA) training outcomes, beyond currently used cognitive, psychomotor, and aviation knowledge and experience predictors included in the U.S. Air Force (USAF) Pilot Candidate Selection Method 2.0. Participants were 170 USAF officers with RPA Initial Flight Screening (RFS) outcomes and 110 USAF officers with RPA Instrument Qualification (RIQ) outcomes.</excerpt>', '<title>Understanding the Relations Between Selection Factors and Pilot Training Performance: Does the Criterion Make a Difference?</title> <excerpt>Although several valid predictors of U.S. Air Force pilot training performance have been identified, it was felt that our understanding of the relation between preselection personnel attribute data and training performance was limited by the dichotomous nature of the outcome indicators (ie, graduation or elimination) and by the disproportionate number of people in the outcome categories. A weighted composite of Undergraduate Pilot Training (UPT) flying performance data (ie, daily flying grades, check flight grades, and academic grades) was shown to be related closely to advanced training recommendations (fighter vs nonfighter aircraft).</excerpt>', '<title>Aircrew selection systems</title> <excerpt>Research was conducted to develop and validate a computerized battery of psycomotor and cognitive tests to identify candidates who sould not either complete pilot training or be recommended for a fighter assignment after training. All or part of the battery of 15 tests was given to 1,622 Air Force Pilot candidates prior to training and their test scores were regressed against various flying performance measures. Two psychomotor tests and tests of perceptual speed, decision making speed, and memory function were found to be significant predictors of flying performance.</excerpt>']"
5,45,5_Age Effects in Aviation,['Age Effects in Aviation'],"[""<title>Expertise, Cognitive Ability, and Age Effects on Pilot Communication</title> <excerpt>We investigated whether expertise reduced age-related declines in pilot communication, using multiple expertise measures and laboratory tasks varying in domain relevance. Younger, middle-aged, and older pilots and nonpilots listened to air traffic control messages that described an aircraft's route through an airspace, while they referred to a chart of that airspace. They read back each message, then answered a probe question about the aircraft's route.</excerpt>"", '<title>Age, flight experience, and violation risk in mature commuter and air taxi pilots</title> <excerpt>Violation of Federal Aviation Regulations has been identified as a risk factor for pilot involvement in aviation crashes. However, the associations among violations, flight experience, and pilot age have not been well studied. In this study, we aimed to examine risk of violation in relation to pilot age and other pilot characteristics based on exposure to flight in a fixed birth cohort of 3,306 commuter air carrier and air taxi pilots who in 1987 were aged 45 to 54 years.</excerpt>', ""<title>Preliminary examination of timesharing in United States Air Force rotc cadets</title> <excerpt>Previous research has shown that timesharing ability-the ability to perform multiple tasks simultaneously-is related to various indices of aircraft pilots' proficiency. Superior timesharing has also been demonstrated by experienced pilots. The present study examined timesharing of United States Air Force Reserve Officer Training Corps (AFROTC) cadets, who are relatively inexperienced (some with no flying experience).</excerpt>""]"
6,44,6_Anxiety and flying,['Anxiety and flying'],"['<title>The relief of anxiety: Comparative study - Air plane flying vs anesthesia</title> <excerpt>Background: Airplane Flying and anesthesia are both not entirely safe. Passengers and patients have the right not to be endangered during flight or anesthesia. Flying and anesthesia has always been associated with anxiety in passengers and patients.</excerpt>', '<title>Relationships of anxiety scores to screening and training status of air traffic controllers</title> <excerpt>The present study assessed the relationship between anxiety, as measured by the State-Trait Personality Inventory (STPI), and success of post-strike air traffic control specialist (ATCS) trainees at the FAA Academy and during field training. The STPI was administered to students who entered the FAA Academy between June 1984 and September 1985. Academy test scores were obtained for 1,790 students in the en route option.</excerpt>', '<title>Flying and danger, joy and fear</title> <excerpt>U.S. Air Force fliers are all volunteers who undergo rigorous training for their profession. Their motivation may be deeprooted and emotional, or may arise from a conscious decision made in early adulthood.</excerpt>']"
7,41,7_Personality Assessment in Aviation,['Personality Assessment in Aviation'],"['<title>The Construction of Personality Questionnaires for Selection of Aviation Personnel</title> <excerpt>The Personality Research Form (PRF), a questionnaire for voluntary self-description, was administered to a group of applicants (N = 300) for pilot training with a major European airline. Standard psychometric statistics were computed for the PRF subscales. Comparison with information given in the test manual shows that the reliability of all PRF subscales declines in personnel selection.</excerpt>', '<title>Using binary logistic regression to screen candidates for instructor pilot upgrade</title> <excerpt>Researchers who focus on aircrew performance and its relation to aviation safety have endeavored to understand personality traits and attributes andtheireffecton team coherence and performance. Moreover, corporate aviation departments and commercial air carriers have vested interests in hiring those applicants who have the propensity to perform effectively in a team environment. As a continuation of ongoing research in pilot resource selection, the authors have examined the efficacy of binary logistic regression in screening candidates for instructor pilot upgrade by analyzing psychological surveys of 77 commercial pilots based on the Big Five Personality Inventory, the Leadership Intelligence Quotient (LIQ) Self-Assessment and three select attribute scales (Mach V, locus-of-control, and self-monitoring scales).</excerpt>', '<title>Effectiveness of a forced-choice leadership test under varied experimental conditions</title> <excerpt>A forced-choice personality test developed by PRB, TAGO and validated against leadership ratings on ROTC and West Point Cadets was evaluated under varied conditions in the Naval Air Training Program. The test was administered to three groups of Naval aviation cadets and a group of psychologists on the staff of the Naval Aviation Psychology Laboratory. The test was administered in two forms-the original 4 20 item test and a short form consisting only of the 106 keyed items.</excerpt>']"
8,38,8_Aviation Automation Effects,['Aviation Automation Effects'],"['<title>Formal Papers: Toward a Human-Centered Aircraft Automation Philosophy</title> <excerpt>This article reviews the evolution of aircraft automation over the past century, emphasizing the evolving role automated devices play in assisting the human pilot. Discussions of anticipated and unanticipated effects of automation and speculation on the role of the human operator in future, more highly automated aircraft, are included. Automation: automatic operation or control of a process, equipment, or a system.</excerpt>', '<title>Improved Usability of Aviation Automation Through Direct Manipulation and Graphical User Interface Design</title> <excerpt>Problems in advanced commercial aircraft pilot-flight management system (FMS) interaction through multifunction control display units (MCDUs) have been widely reported. Because this interaction plays an important role in ensuring aircraft safety, the MCDU should be designed to provide intuitive interfaces for ease of learning and use and to support pilot task performance in every aspect possible. Because of the increased complexity of computer-based systems, direct manipulation (DM) and graphical user interfaces (GUIs) have been proposed as vehicles to facilitate user-friendly interface design for improved usability of computer-based systems.</excerpt>', ""<title>The retention of manual flying skills in the automated cockpit</title> <excerpt>Objective: The aim of this study was to understand how the prolonged use of cockpit automation is affecting pilots' manual flying skills.Background: There is an ongoing concern about a potential deterioration of manual flying skills among pilots who assume a supervisory role while cockpit automation systems carry out tasks that were once performed by human pilots.Method: We asked 16 airline pilots to fly routine and nonroutine flight scenarios in a Boeing 747-400 simulator while we systematically varied the level of automation that they used, graded their performance, and probed them about what they were thinking about as they flew.Results: We found pilots' instrument scanning and manual control skills to be mostly intact, even when pilots reported that they were infrequently practiced. However, when pilots were asked to manually perform the cognitive tasks needed for manual flight (eg, tracking the aircraft's position without the use of a map display, deciding which navigational steps come next, recognizing instrument system failures), we observed more frequent and significant problems. Furthermore, performance on these cognitive tasks was associated with measures of how often pilots engaged in task-unrelated thought when cockpit automation was used.Conclusion: We found that while pilots' instrument scanning and aircraft control skills are reasonably well retained when automation is used, the retention of cognitive skills needed for manual flying may depend on the degree to which pilots remain actively engaged in supervising the automation..</excerpt>""]"
